date,temp,solarirrad,dcpower,humidity,label
10/01/22,26.763,1.651,20.537,73.3,0
10/02/22,26.838,3.448,42.552,74.8,0
10/03/22,26.175,4.214,52.109,85.4,0
10/04/22,26.229,4.622,57.156,79.1,0
10/05/22,27.446,5.384,67.436,76.7,0
10/06/22,25.846,3.53,44.188,71.3,0
10/07/22,26.038,3.723,46.152,74.1,0
10/08/22,25.446,1.557,19.42,75.5,0
10/09/22,25.654,3.936,49.337,71.4,0
10/10/22,26.537,6.146,78.435,68.7,0
10/11/22,25.738,4.109,51.302,74.5,0
10/12/22,25.417,3.089,38.434,78.5,0
10/13/22,25.817,1.529,19.039,78.8,0
10/14/22,26.292,4.286,53.749,78.3,0
10/15/22,26.604,5.998,78.127,74.3,0
10/16/22,26.504,5.521,71.752,77.8,0
10/17/22,26.363,6.238,82.882,81.4,0
10/18/22,26.317,5.73,73.644,78.8,0
10/19/22,26.563,5.601,73.018,83.3,0
10/20/22,25.975,3.754,48.01,84.2,0
10/21/22,27.254,4.484,57.718,79.3,0
10/22/22,26.779,4.879,62.811,77.4,0
10/23/22,26.412,3.652,47.308,79.5,0
10/24/22,25.796,4.915,65.338,76.1,0
10/25/22,25.638,6.431,87.221,87.3,0
10/26/22,26.133,6.354,86.25,78.3,0
10/27/22,26.083,4.168,53.333,67.9,0
10/28/22,26.258,6.26,85.559,86.6,0
10/29/22,26.471,6.148,84.171,95.8,0
10/30/22,25.85,5.569,76.054,89.6,0
10/31/22,25.775,6.113,84.637,87.8,0
11/01/22,26.246,3.602,49.331,86.0,0
11/02/22,26.879,4.019,54.186,82.5,0
11/03/22,26.704,4.58,63.668,80.9,0
11/04/22,27.604,4.079,54.555,80.1,0
11/05/22,27.529,4.37,60.298,79.6,0
11/06/22,27.083,3.753,50.092,78.5,0
11/07/22,26.596,3.617,48.689,76.3,0
11/08/22,27.1,4.144,57.212,77.0,0
11/09/22,27.329,4.913,67.993,76.5,0
11/10/22,26.488,3.738,49.957,77.3,0
11/11/22,24.921,3.323,44.417,79.0,0
11/12/22,25.554,3.649,49.732,80.5,0
11/13/22,25.596,3.46,46.463,78.7,0
11/14/22,25.704,2.806,36.859,73.0,0
11/15/22,27.383,4.251,58.44,76.9,0
11/16/22,27.458,4.574,64.554,77.5,0
11/17/22,26.679,4.739,68.095,80.6,0
11/18/22,27.075,4.862,68.091,83.1,0
11/19/22,27.537,5.054,72.207,85.9,0
11/20/22,27.596,4.528,63.49,82.3,0
11/21/22,26.817,3.196,42.952,82.7,0
11/22/22,26.092,3.02,40.271,79.3,0
11/23/22,26.529,4.027,56.894,75.4,0
11/24/22,26.438,4.239,60.227,71.7,0
11/25/22,26.104,3.374,48.104,75.0,0
11/26/22,25.829,3.239,45.692,72.4,0
11/27/22,26.862,5.311,77.409,70.0,0
11/28/22,26.337,5.227,76.91,72.4,0
11/29/22,25.358,3.679,51.487,73.1,0
11/30/22,24.396,5.009,73.802,77.7,1
12/01/22,25.658,4.323,62.548,78.2,0
12/02/22,26.846,4.357,64.31,73.3,0
12/03/22,26.867,4.994,74.784,72.7,0
12/04/22,26.7,4.337,64.453,76.2,0
12/05/22,26.083,2.412,32.687,78.6,0
12/06/22,25.712,3.394,48.417,75.8,0
12/07/22,26.3,3.056,42.045,72.3,0
12/08/22,26.588,1.959,26.107,75.5,0
12/09/22,26.412,3.511,49.05,82.1,0
12/10/22,26.175,3.037,41.819,87.2,0
12/11/22,25.967,2.355,31.366,84.2,0
12/12/22,24.967,2.537,34.658,80.1,0
12/13/22,25.708,3.379,47.299,77.2,0
12/14/22,24.775,3.87,55.052,81.6,1
12/15/22,23.633,4.179,61.504,81.5,1
12/16/22,23.45,2.056,26.598,77.4,0
12/17/22,24.396,2.561,34.149,83.9,0
12/18/22,25.196,1.423,19.058,73.4,0
12/19/22,25.792,2.659,38.132,71.0,0
12/20/22,25.671,3.953,56.778,84.3,0
12/21/22,25.125,3.976,58.033,83.1,0
12/22/22,25.325,4.501,67.534,73.0,0
12/23/22,25.858,2.842,40.316,67.7,0
12/24/22,26.646,4.947,72.767,65.1,0
12/25/22,26.204,5.157,77.787,65.0,0
12/26/22,25.963,2.949,40.743,69.9,0
12/27/22,25.8,1.491,19.061,74.8,0
12/28/22,25.108,3.516,51.422,72.8,0
12/29/22,24.663,3.302,48.095,76.8,0
12/30/22,23.821,4.587,69.429,77.1,1
12/31/22,24.196,5.351,80.803,78.3,1
